,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nanortalik,92,GL,1551058694,94,60.14,-45.24,32.53,7.4
1,vanimo,0,PG,1551058695,100,-2.67,141.3,82.53,2.04
2,albany,90,US,1551056340,65,42.65,-73.75,46.4,16.11
3,padang,20,ID,1551056400,83,-0.92,100.36,80.6,2.24
4,hermanus,0,ZA,1551058697,97,-34.42,19.24,54.31,2.59
5,tromso,75,NO,1551057600,80,69.65,18.96,39.2,38.03
6,cape town,0,ZA,1551056400,100,-33.93,18.42,66.2,10.29
7,jamestown,0,AU,1551058454,35,-33.21,138.6,87.61,5.95
8,vilyuysk,48,RU,1551058699,61,63.75,121.63,0.85,3.71
9,meulaboh,20,ID,1551058700,100,4.14,96.13,81.81,3.6
10,kaniama,68,CD,1551058700,89,-7.57,24.18,66.69,2.26
11,lebu,20,ET,1551056400,71,8.96,38.73,57.2,4.7
12,kieta,12,PG,1551058701,98,-6.22,155.63,81.9,4.72
13,kaeo,0,NZ,1551058702,46,-35.1,173.78,71.64,18.81
14,flinders,40,AU,1551056400,53,-34.58,150.85,73.4,6.93
15,abu dhabi,88,AE,1551056400,82,24.47,54.37,68.0,2.24
16,jacareacanga,64,BR,1551058703,96,-6.22,-57.76,73.98,2.71
17,husavik,24,CA,1551058703,70,50.56,-96.99,-5.95,12.44
18,hambantota,20,LK,1551057000,100,6.12,81.12,73.4,2.24
19,tingi,76,TZ,1551058704,100,-11.3,35.03,74.88,3.94
20,copiapo,0,CL,1551056400,77,-27.37,-70.33,64.4,11.41
21,bambous virieux,75,MU,1551056400,83,-20.34,57.76,80.6,4.7
22,bluff,0,AU,1551058705,35,-23.58,149.07,90.36,11.77
23,east london,68,ZA,1551058550,100,-33.02,27.91,71.32,10.42
24,palmer,0,AU,1551056400,16,-34.85,139.16,91.4,6.93
25,trinidad,0,UY,1551058707,75,-33.52,-56.9,59.94,7.85
26,bhor,0,IN,1551058707,65,18.15,73.84,67.81,2.71
27,bredasdorp,12,ZA,1551056400,88,-34.53,20.04,62.6,2.82
28,castro,0,CL,1551056400,75,-42.48,-73.76,46.4,6.93
29,ushuaia,75,AR,1551056400,48,-54.81,-68.31,42.8,18.34
30,newport,32,GB,1551055800,60,51.59,-3.0,42.8,3.36
31,port blair,20,IN,1551056400,94,11.67,92.75,73.4,2.24
32,zunyi,68,CN,1551058710,91,27.73,106.92,44.23,4.16
33,mataura,12,NZ,1551058710,46,-46.19,168.86,62.68,10.87
34,hobart,0,AU,1551056400,22,-42.88,147.33,80.6,10.29
35,busselton,48,AU,1551058711,78,-33.64,115.35,76.59,16.02
36,rincon,1,US,1551057300,33,32.3,-81.24,69.8,8.05
37,kaitangata,20,NZ,1551058526,55,-46.28,169.85,61.87,9.98
38,denpasar,20,ID,1551056400,83,-8.65,115.22,84.2,5.82
39,touros,40,BR,1551056400,94,-5.2,-35.46,78.8,3.36
40,buala,88,SB,1551058714,80,-8.15,159.59,84.96,5.28
41,novosheshminsk,76,RU,1551058714,84,55.06,51.22,13.86,7.85
42,necochea,8,AR,1551058715,97,-38.55,-58.74,52.33,11.88
43,alofi,92,NU,1551056400,78,-19.06,-169.92,82.4,14.99
44,arraial do cabo,48,BR,1551058716,87,-22.97,-42.02,80.19,7.63
45,walvis bay,8,NA,1551056400,82,-22.95,14.51,68.0,4.7
46,punta arenas,20,CL,1551056400,70,-53.16,-70.91,44.6,11.41
47,new norfolk,0,AU,1551056400,22,-42.78,147.06,80.6,10.29
48,lavrentiya,24,RU,1551058717,84,65.58,-170.99,29.83,35.81
49,hithadhoo,92,MV,1551058718,100,-0.6,73.08,82.53,7.74
50,faanui,76,PF,1551058718,98,-16.48,-151.75,83.92,8.19
51,cap malheureux,75,MU,1551056400,83,-19.98,57.61,80.6,4.7
52,puerto ayora,75,EC,1551052800,74,-0.74,-90.35,84.2,9.17
53,yellowknife,40,CA,1551056400,69,62.45,-114.38,-13.01,4.7
54,ahipara,0,NZ,1551058720,74,-35.17,173.16,68.35,22.5
55,sioux lookout,90,CA,1551057180,70,50.1,-91.92,3.2,19.46
56,iqaluit,5,CA,1551056400,62,63.75,-68.52,-16.61,9.17
57,camacari,20,BR,1551056400,79,-12.7,-38.32,84.2,11.41
58,tuktoyaktuk,75,CA,1551056400,84,69.44,-133.03,8.6,5.82
59,barrow,12,AR,1551058723,71,-38.31,-60.23,52.2,13.0
60,egvekinot,36,RU,1551058723,75,66.32,-179.17,15.48,15.68
61,grand gaube,75,MU,1551056400,83,-20.01,57.66,80.6,4.7
62,olinda,75,EC,1551056400,83,-2.03,-79.75,80.6,3.36
63,rikitea,92,PF,1551058604,100,-23.12,-134.97,80.01,14.0
64,hofn,12,IS,1551058726,93,64.25,-15.21,42.25,20.27
65,port alfred,36,ZA,1551058727,96,-33.59,26.89,66.28,5.28
66,mar del plata,12,AR,1551058728,77,-46.43,-67.52,44.5,8.75
67,salalah,20,OM,1551055800,78,17.01,54.1,73.4,2.24
68,harper,1,US,1551057300,32,30.3,-99.24,53.6,9.75
69,wick,20,GB,1551056160,60,51.45,-2.43,42.8,3.36
70,hilo,90,US,1551055980,73,19.71,-155.08,71.6,10.29
71,tucuman,8,PE,1551058731,84,-17.17,-70.89,59.58,1.81
72,naze,48,NG,1551058731,95,5.43,7.07,74.38,2.93
73,port elizabeth,1,US,1551056160,87,39.31,-74.98,51.8,16.11
74,sembakung,40,ID,1551056400,74,3.82,117.25,84.2,6.93
75,isabela,32,PH,1551058732,63,10.2,122.99,82.66,4.05
76,chicama,90,PE,1551056400,83,-7.84,-79.15,75.2,10.29
77,baracoa,32,CU,1551058733,100,20.35,-74.5,74.38,9.19
78,kodiak,1,US,1551057300,43,39.95,-94.76,19.4,6.93
79,pevek,80,RU,1551058735,79,69.7,170.27,-1.85,29.77
80,avarua,44,CK,1551056400,69,-21.21,-159.78,80.6,5.82
81,chokurdakh,0,RU,1551058736,0,70.62,147.9,-31.6,7.96
82,victoria,75,BN,1551056400,83,5.28,115.24,82.4,3.36
83,fortuna,0,ES,1551056400,93,38.18,-1.13,46.4,3.36
84,bathurst,8,AU,1551058738,63,-33.42,149.58,70.42,3.6
85,pathein,0,MM,1551058738,82,16.78,94.73,81.76,4.61
86,te anau,0,NZ,1551058739,36,-45.41,167.72,61.06,3.49
87,anaconda,90,US,1551055980,78,46.13,-112.94,8.6,8.05
88,port hardy,20,CA,1551056400,65,50.7,-127.42,41.0,5.82
89,mount isa,0,AU,1551056400,52,-20.73,139.49,87.8,8.05
90,richards bay,68,ZA,1551058740,93,-28.77,32.06,72.81,5.95
91,cabo san lucas,40,MX,1551055440,56,22.89,-109.91,71.6,8.05
92,vaini,0,IN,1551056400,52,15.34,74.49,68.0,3.83
93,teguldet,64,RU,1551058741,68,57.31,88.17,17.05,8.63
94,klaksvik,48,FO,1551057600,100,62.23,-6.59,48.2,9.17
